Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA50,Shares,Close1,Profit,Wealth,Buy-Hold
2020-12-08,367.7200012207031,370.7799987792969,367.6700134277344,370.1700134277344,365.0279846191406,42458900,366.0220031738281,,0,366.8500061035156,0.0,0.0,
2020-12-09,370.8800048828125,371.04998779296875,365.95001220703125,366.8500061035156,361.7541198730469,74098300,366.3850036621094,350.0058026123047,1,366.7300109863281,-0.1199951171875,-0.1199951171875,-0.1199951171875
2020-12-10,365.3699951171875,367.8599853515625,364.42999267578125,366.7300109863281,361.63580322265625,57735400,366.79200439453126,350.6426025390625,1,366.29998779296875,-0.430023193359375,-0.550018310546875,-0.550018310546875
2020-12-11,364.8999938964844,366.739990234375,363.260009765625,366.29998779296875,361.2117614746094,57698600,367.0550018310547,351.2278021240234,1,364.6600036621094,-1.639984130859375,-2.19000244140625,-2.19000244140625
2020-12-14,368.6400146484375,369.79998779296875,364.4700012207031,364.6600036621094,359.59454345703125,69216200,367.31500244140625,351.8442022705078,1,369.5899963378906,4.92999267578125,2.739990234375,2.739990234375
2020-12-15,367.3999938964844,369.5899963378906,365.9200134277344,369.5899963378906,364.4560241699219,63865300,367.6720031738281,352.4408020019531,1,370.1700134277344,0.58001708984375,3.32000732421875,3.32000732421875
2020-12-16,369.82000732421875,371.1600036621094,368.8699951171875,370.1700134277344,365.0279846191406,58420500,368.0100036621094,353.1456024169922,1,372.239990234375,2.069976806640625,5.389984130859375,5.389984130859375
2020-12-17,371.94000244140625,372.4599914550781,371.04998779296875,372.239990234375,367.0692443847656,64119500,368.56500244140625,353.7752020263672,1,369.17999267578125,-3.05999755859375,2.329986572265625,2.329986572265625
2020-12-18,370.9700012207031,371.1499938964844,367.0199890136719,369.17999267578125,365.60357666015625,136542300,368.4980010986328,354.2832019042969,1,367.8599853515625,-1.32000732421875,1.009979248046875,1.009979248046875
2020-12-21,364.9700012207031,378.4599914550781,362.0299987792969,367.8599853515625,364.2963562011719,96386700,368.375,354.7034014892578,1,367.239990234375,-0.6199951171875,0.389984130859375,0.389984130859375
