Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA50,Shares,Close1,Profit,Wealth,Buy-Hold
2020-11-20,17817.083984375,18773.2265625,17765.794921875,18621.314453125,18621.314453125,36992873940,16892.3146484375,,0,18642.232421875,0.0,0.0,
2020-11-21,18621.31640625,18936.62109375,18444.359375,18642.232421875,18642.232421875,39650210707,17186.40390625,13606.951640625,1,18370.001953125,-272.23046875,-272.23046875,-272.23046875
2020-11-22,18642.232421875,18688.96875,17671.384765625,18370.001953125,18370.001953125,41280434226,17395.7697265625,13758.59931640625,1,18364.12109375,-5.880859375,-278.111328125,-278.111328125
2020-11-23,18370.017578125,18711.42578125,18000.796875,18364.12109375,18364.12109375,42741112308,17600.4009765625,13913.41513671875,1,19107.46484375,743.34375,465.232421875,465.232421875
2020-11-24,18365.015625,19348.271484375,18128.65625,19107.46484375,19107.46484375,51469565009,17904.33359375,14083.86115234375,1,18732.12109375,-375.34375,89.888671875,89.888671875
2020-11-25,19104.41015625,19390.96484375,18581.146484375,18732.12109375,18732.12109375,43710357371,18181.9869140625,14247.1937109375,1,17150.623046875,-1581.498046875,-1491.609375,-1491.609375
2020-11-26,18729.83984375,18866.28515625,16351.03515625,17150.623046875,17150.623046875,61396835737,18225.4380859375,14376.51759765625,1,17108.40234375,-42.220703125,-1533.830078125,-1533.830078125
2020-11-27,17153.9140625,17445.0234375,16526.423828125,17108.40234375,17108.40234375,38886494645,18171.7376953125,14502.605625,1,17717.4140625,609.01171875,-924.818359375,-924.818359375
2020-11-28,17112.93359375,17853.939453125,16910.65234375,17717.4140625,17717.4140625,32601040734,18163.078515625,14644.520625,1,18177.484375,460.0703125,-464.748046875,-464.748046875
2020-11-29,17719.634765625,18283.62890625,17559.1171875,18177.484375,18177.484375,31133957704,18199.11796875,14794.487578125,1,19625.8359375,1448.3515625,983.603515625,983.603515625
2020-11-30,18178.322265625,19749.263671875,18178.322265625,19625.8359375,19625.8359375,47728480399,18299.5701171875,14968.53173828125,1,18802.998046875,-822.837890625,160.765625,160.765625
2020-12-01,19633.76953125,19845.974609375,18321.921875,18802.998046875,18802.998046875,49633658712,18315.6466796875,15118.66447265625,1,19201.091796875,398.09375,558.859375,558.859375
2020-12-02,18801.744140625,19308.330078125,18347.71875,19201.091796875,19201.091796875,37387697139,18398.7556640625,15275.00267578125,1,19445.3984375,244.306640625,803.166015625,803.166015625
2020-12-03,19205.92578125,19566.19140625,18925.78515625,19445.3984375,19445.3984375,31930317405,18506.8833984375,15435.3205078125,1,18699.765625,-745.6328125,57.533203125,57.533203125
2020-12-04,19446.966796875,19511.404296875,18697.193359375,18699.765625,18699.765625,33872388058,18466.1134765625,15579.408828125,1,19154.23046875,454.46484375,511.998046875,511.998046875
2020-12-05,18698.384765625,19160.44921875,18590.193359375,19154.23046875,19154.23046875,27242455064,18508.3244140625,15736.0509765625,1,19345.12109375,190.890625,702.888671875,702.888671875
2020-12-06,19154.1796875,19390.5,18897.89453125,19345.12109375,19345.12109375,25293775714,18727.77421875,15895.7913671875,1,19191.630859375,-153.490234375,549.3984375,549.3984375
2020-12-07,19343.12890625,19411.828125,18931.142578125,19191.630859375,19191.630859375,26896357742,18936.0970703125,16049.956796875,1,18321.14453125,-870.486328125,-321.087890625,-321.087890625
