Date,Open,High,Low,Close,Adj Close,Volume,PriceX,PriceDiff,Return,Direction,MA20,MA100
2021-02-22,128.00999450683594,129.72000122070312,125.5999984741211,126.0,125.5981674194336,103916400,125.86000061035156,-0.1399993896484375,-0.0011111062670510913,-1,135.14150009155273,124.61240005493164
2021-02-23,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,125.45861053466797,158273000,125.3499984741211,-0.5100021362304688,-0.00405213835815382,-1,134.28850021362305,124.73010009765625
2021-02-24,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,124.95023345947266,111039900,120.98999786376953,-4.3600006103515625,-0.03478261398823789,-1,133.39799995422362,124.82550010681152
2021-02-25,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953,120.60414123535156,148199500,121.26000213623047,0.2700042724609375,0.0022316247394677433,1,132.34449996948243,124.86750007629395
2021-02-26,122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047,120.87328338623047,164560400,127.79000091552734,6.529998779296875,0.053851217749119766,1,131.55300025939943,124.94990013122559
2021-03-01,123.75,127.93000030517578,122.79000091552734,127.79000091552734,127.38246154785156,116307900,125.12000274658203,-2.6699981689453125,-0.020893639172209207,-1,131.34449996948243,125.06280014038086
2021-03-02,128.41000366210938,128.72000122070312,125.01000213623047,125.12000274658203,124.7209701538086,102260900,122.05999755859375,-3.0600051879882812,-0.02445656266637089,-1,130.8935001373291,125.18240013122559
2021-03-03,124.80999755859375,125.70999908447266,121.83999633789062,122.05999755859375,121.67072296142578,112966300,120.12999725341797,-1.9300003051757812,-0.01581189860543216,-1,130.2469997406006,125.25220008850097
2021-03-04,121.75,123.5999984741211,118.62000274658203,120.12999725341797,119.74687957763672,178155000,121.41999816894531,1.2900009155273438,0.010738374635987435,1,129.55649948120117,125.30380004882812
2021-03-05,120.9800033569336,121.94000244140625,117.56999969482422,121.41999816894531,121.03276824951172,153766600,116.36000061035156,-5.05999755859375,-0.041673510417560754,-1,128.75799942016602,125.34830001831055
2021-03-08,120.93000030517578,121.0,116.20999908447266,116.36000061035156,115.98890686035156,154376600,121.08999633789062,4.7299957275390625,0.040649670872537576,1,127.7379997253418,125.26790000915527
2021-03-09,119.02999877929688,122.05999755859375,118.79000091552734,121.08999633789062,120.70381927490234,129525800,119.9800033569336,-1.1099929809570312,-0.009166677797724072,-1,126.94699935913086,125.26779998779297
2021-03-10,121.69000244140625,122.16999816894531,119.44999694824219,119.9800033569336,119.59737396240234,111943300,121.95999908447266,1.9799957275390625,0.01650271438690237,1,126.14549980163574,125.25569999694824
2021-03-11,122.54000091552734,123.20999908447266,121.26000213623047,121.95999908447266,121.571044921875,103026500,121.02999877929688,-0.9300003051757812,-0.007625453527034211,-1,125.47399978637695,125.26819999694824
2021-03-12,120.4000015258789,121.16999816894531,119.16000366210938,121.02999877929688,120.64401245117188,88105100,123.98999786376953,2.9599990844726562,0.02445673894346091,1,124.76899948120118,125.28830001831055
2021-03-15,121.41000366210938,124.0,120.41999816894531,123.98999786376953,123.59457397460938,92403800,125.56999969482422,1.5800018310546875,0.01274297812949936,1,124.19999961853027,125.3683999633789
